well	wellsample	sample	dilution	gene	reporter	ct	technical
49	E1	e1		RSB1	FAM	27.463188	2
55	E7	g2		RSB1	FAM	27.220495	2
26	C2	e1		SMA2	FAM	27.498919	2
32	C8	g2		SMA2	FAM	27.121136	2
52	E4	g1		SMA2	FAM	27.855139	2
54	E6	e2		SMA2	FAM	27.955904	2
27	C3	g1		SPS1	FAM	30.981583	2
29	C5	e2		SPS1	FAM	31.966799	2
37	D1	e1		SPS1	FAM	31.37655	2
43	D7	g2		SPS1	FAM	30.217758	2
25	C1	e1		ANB1	FAM	27.785948	3
31	C7	g2		ANB1	FAM	28.93866	3
39	D3	g1		ANB1	FAM	26.001072	3
41	D5	e2		ANB1	FAM	27.920586	3
4	A4	g1		DAK2	FAM	24.367971	3
6	A6	e2		DAK2	FAM	25.942621	3
74	G2	e1		DAK2	FAM	25.662508	3
80	G8	g2		DAK2	FAM	25.26185	3
16	B4	g1		FRE4	FAM	26.912813	3
18	B6	e2		FRE4	FAM	27.944366	3
62	F2	e1		FRE4	FAM	27.9396	3
68	F8	g2		FRE4	FAM	27.387411	3
14	B2	e1		FUS1	FAM	28.652323	3
20	B8	g2		FUS1	FAM	30.342573	3
64	F4	g1		FUS1	FAM	29.917522	3
66	F6	e2		FUS1	FAM	28.297165	3
1	A1	e1		GAS2	FAM	27.996708	3
7	A7	g2		GAS2	FAM	26.94279	3
63	F3	g1		GAS2	FAM	26.531952	3
65	F5	e2		GAS2	FAM	27.967045	3
3	A3	g1		MEK1	FAM	27.226492	3
5	A5	e2		MEK1	FAM	27.879206	3
61	F1	e1		MEK1	FAM	27.66774	3
67	F7	g2		MEK1	FAM	27.578373	3
38	D2	e1		OPT1	FAM	25.890732	3
40	D4	g1		OPT1	FAM	24.99934	3
42	D6	e2		OPT1	FAM	25.944866	3
44	D8	g2		OPT1	FAM	25.955896	3
13	B1	e1		OSW1	FAM	35.92803	3
19	B7	g2		OSW1	FAM	33.948597	3
51	E3	g1		OSW1	FAM	33.387638	3
53	E5	e2		OSW1	FAM	35.70352	3
28	C4	g1		PTR2	FAM	26.815277	3
30	C6	e2		PTR2	FAM	27.234032	3
50	E2	e1		PTR2	FAM	27.319542	3
56	E8	g2		PTR2	FAM	26.90223	3
2	A2	e1		RCK1	FAM	32.19494	3
8	A8	g2		RCK1	FAM	30.890162	3
76	G4	g1		RCK1	FAM	30.617094	3
78	G6	e2		RCK1	FAM	31.91885	3
10	A10	g1	6	rRNA18S	FAM	25.844173	3
11	A11	e2	6	rRNA18S	FAM	24.450943	3
12	A12	g2	6	rRNA18S	FAM	25.22718	3
9	A9	e1	6	rRNA18S	FAM	24.742413	3
22	B10	g1	7	rRNA18S	FAM	29.533197	3
23	B11	e2	7	rRNA18S	FAM	28.533403	3
24	B12	g2	7	rRNA18S	FAM	28.835423	3
21	B9	e1	7	rRNA18S	FAM	28.907063	3
34	C10	g1	8	rRNA18S	FAM	32.27427	3
35	C11	e2	8	rRNA18S	FAM	32.020172	3
36	C12	g2	8	rRNA18S	FAM	31.905727	3
33	C9	e1	8	rRNA18S	FAM	31.85812	3
46	D10	g1	9	rRNA18S	FAM	34.448704	3
47	D11	e2	9	rRNA18S	FAM	34.41781	3
48	D12	g2	9	rRNA18S	FAM	37.201565	3
45	D9	e1	9	rRNA18S	FAM	33.294983	3
58	E10	g1	neg control	rRNA18S	FAM	Undetermined	3
59	E11	e2	neg control	rRNA18S	FAM	Undetermined	3
60	E12	g2	neg control	rRNA18S	FAM	Undetermined	3
57	E9	e1	neg control	rRNA18S	FAM	Undetermined	3
15	B3	g1		RSB1	FAM	25.595499	3
17	B5	e2		RSB1	FAM	25.97832	3
49	E1	e1		RSB1	FAM	25.81391	3
55	E7	g2		RSB1	FAM	25.726486	3
26	C2	e1		SMA2	FAM	26.817942	3
32	C8	g2		SMA2	FAM	26.925058	3
52	E4	g1		SMA2	FAM	26.413216	3
54	E6	e2		SMA2	FAM	26.961279	3
27	C3	g1		SPS1	FAM	29.719805	3
29	C5	e2		SPS1	FAM	30.763718	3
37	D1	e1		SPS1	FAM	30.530804	3
43	D7	g2		SPS1	FAM	29.958239	3
